id,date_utc,text,sender_id,reply_to,views,forwards
1,2024-05-05 16:09:12,,-1002079334288,,,
117,2024-07-16 12:45:03,,-1002079334288,,,
118,2024-07-16 15:18:07,,-1002079334288,,,
119,2024-07-16 17:10:26,,-1002079334288,,93,0
120,2024-07-17 14:39:35,"HELLO GUYS. 

Tomorrow we will start admitting in this channel! Let's have a profitable week ahead!",-1002079334288,,100,0
121,2024-07-17 14:41:08,But for those who are in this channel. We will request you to fill up a google form. Thank you! Godbless,-1002079334288,,95,0
122,2024-07-17 15:56:58,"BUY LIMIT XAUUSD

ENTRY at 2458.41

TP1 2459.50

TP2 2460.90

TP3 2462.82",-1002079334288,,95,0
123,2024-07-17 16:12:52,SL: 2439.69,-1002079334288,,91,0
124,2024-07-17 16:21:35,ACTIVATED,-1002079334288,,91,0
125,2024-07-17 17:42:57,"CLOSED TRADE. 

BREAK EVEN.

Volume is too low to drive up",-1002079334288,,93,0
126,2024-07-17 19:40:54,I CLOSED THE TRADE BUT STILL HIT TP1. CONGRATULATIONS TO ALL WHO HELD ON THIS TRADE,-1002079334288,122,94,0
127,2024-07-18 03:41:28,HITTING TP2 and TP3,-1002079334288,122,96,0
128,2024-07-18 03:57:11,CONGRATULATIONS!!! to all who held on this trade. Tomorrow's another day to trade we will look for a better entry.,-1002079334288,,98,0
129,2024-07-18 09:36:52,"BUY LIMIT XAUUSD

PRICE: 2464.50

SL2456,68

TP1 2466

TP2 2467.78

TP3 2470.40",-1002079334288,,106,0
130,2024-07-18 09:56:52,"FOR LONGER TP'S

TP4  2471.08

TP5 2473",-1002079334288,,108,0
131,2024-07-18 10:00:21,ACTIVATED,-1002079334288,,106,0
132,2024-07-18 10:53:40,TP1 HIT,-1002079334288,,106,0
133,2024-07-18 10:53:52,,-1002079334288,,111,0
134,2024-07-18 11:52:24,HIT TP1 Again!!!,-1002079334288,,113,0
135,2024-07-18 12:31:49,TP 2 HIT!!!,-1002079334288,,113,0
137,2024-07-19 12:04:30,"BUY NOW XAUUSD

PRICE 2407

SL: 2400

TP1 2408

TP2 2412.48

TP3 2413.60",-1002079334288,,107,0
138,2024-07-19 12:16:05,TP1 HIT,-1002079334288,,108,0
139,2024-07-22 11:39:03,"BUY LIMIT

PRICE: 2400.26

SL: 2394

TP1: 2402.26

TP2: 2404.50

:",-1002079334288,,70,0
140,2024-07-22 11:48:02,ACTIVATED,-1002079334288,,71,0
141,2024-07-22 12:11:26,ADJUST SL TO 2393.40,-1002079334288,,74,0
142,2024-07-22 12:34:24,SL HIT,-1002079334288,,78,0
143,2024-07-22 12:34:40,We will look for another entry soon,-1002079334288,,79,0
144,2024-07-22 14:46:07,,-1002079334288,,90,0
145,2024-07-22 14:46:21,Guys yiu can take Trade,-1002079334288,,92,0
146,2024-07-22 14:47:30,wait at entry price,-1002079334288,,92,0
147,2024-07-22 16:41:27,"SELL LIMIT 

PRICE 2394

SL 2405.33

TP1 2392

TP2 2388

TP3 2384.90",-1002079334288,,84,0
148,2024-07-22 17:18:03,ACTIVATED,-1002079334288,,83,0
149,2024-07-23 06:08:44,TP1 hit,-1002079334288,147,84,0
150,2024-07-23 09:45:51,"SELL LIMIT @ 2408

SL: 2413.50

TP1 2406

TP2 2403

TP3 2400",-1002079334288,,90,0
151,2024-07-23 09:53:11,ACTIVATED,-1002079334288,,91,0
